x,y
75,147
154,152
78,154
263,187
189,157
67,78
66,236
89,71
194,172
131,82
169,184
119,34
206,103
262,188
130,96
139,118
83,128
256,193
174,152
80,277
259,198
79,126
211,266
131,173
193,168
137,90
166,150
152,139
225,189
73,260
192,161
81,140
191,131
195,279
144,88
182,172
67,207
192,162
110,18
180,169
67,223
139,107
87,128
190,164
162,149
72,254
66,213
206,279
191,170
224,193
134,123
154,199
62,239
81,261
221,130
202,107
215,218
267,208
205,285
133,86
67,242
73,266
217,203
88,274
160,147
108,116
82,269
305,136
160,151
172,170
251,148
68,245
263,201
73,265
70,221
93,168
76,259
88,176
101,124
88,266
125,146
198,272
80,127
262,190
86,129
97,202
91,92
195,278
140,70
75,196
129,82
81,213
86,278
265,198
108,156
85,273
189,174
196,288
90,158
50,83
84,273
128,97
45,75
252,149
252,214
68,222
48,75
195,177
70,80
195,175
189,138
194,90
67,258
85,262
47,67
189,144
86,197
242,214
76,267
133,156
74,139
251,167
188,147
136,104
90,156
268,188
78,274
215,256
191,134
120,20
66,210
261,192
242,196
222,196
109,29
188,176
167,152
187,174
251,194
180,172
66,247
266,195
118,24
131,106
62,218
207,275
74,267
63,223
153,172
78,133
135,81
97,196
173,151
84,278
206,278
63,228
196,180
75,269
71,153
138,122
111,113
193,113
223,33
202,99
96,142
208,273
211,122
103,129
181,198
217,201
219,129
66,211
133,93
92,60
192,156
78,87
79,105
208,248
69,204
192,123
191,154
146,92
44,90
93,150
264,192
59,71
194,181
140,155
185,173
192,174
78,193
265,209
247,213
118,153
58,98
220,229
80,189
132,44
60,243
195,283
107,97
189,140
260,210
75,256
62,247
197,178
65,221
266,189
88,269
69,81
225,237
103,29
195,179
205,282
61,217
191,139
224,200
93,89
64,212
98,204
224,198
88,132
72,79
123,143
140,82
81,273
66,257
301,125
78,132
218,200
74,141
88,273
95,144
191,158
249,213
102,181
265,196
80,114
70,248
82,111
79,133
194,280
206,114
97,55
67,247
77,217
197,177
67,65
78,215
176,195
158,161
192,136
124,147
193,179
194,174
209,270
230,181
184,201
77,259
106,97
225,33
181,172
244,213
194,81
120,139
192,173
84,137
74,148
247,197
102,29
74,204
199,270
65,222
140,97
128,147
136,92
135,90
191,133
207,274
87,275
67,214
201,267
74,175
91,294
203,108
63,230
118,23
273,202
55,224
61,246
257,154
229,183
134,48
118,164
109,172
75,254
152,111
192,148
74,201
139,82
259,153
82,140
42,92
95,145
267,206
165,161
177,174
249,148
191,167
100,113
180,171
114,159
68,257
94,150
181,170
191,156
87,276
115,30
191,124
113,166
52,119
103,39
256,209
134,53
84,180
201,289
121,163
217,250
128,85
77,216
54,74
63,239
89,190
87,267
78,264
113,47
71,150
87,281
42,68
222,231
75,144
254,185
171,150
71,249
75,258
191,143
196,277
108,103
152,141
225,200
215,203
91,91
70,79
131,87
207,276
244,168
193,117
84,279
157,143
109,170
157,131
89,178
79,121
79,268
193,180
246,167
184,173
79,192
177,195
60,214
89,127
258,193
55,231
85,161
98,36
269,204
174,171
130,69
183,173
266,188
137,111
80,90
85,180
208,272
92,144
55,222
77,150
265,188
249,212
114,95
223,133
263,198
191,171
190,160
108,101
74,219
74,211
124,268
262,200
105,122
153,146
143,158
198,271
127,168
81,263
75,218
199,272
79,88
272,201
131,94
88,270
65,225
163,172
118,165
197,179
56,98
105,125
59,218
62,216
207,248
92,132
270,191
88,271
89,269
116,132
53,120
98,131
190,127
303,155
69,221
213,223
191,175
261,207
241,211
108,29
97,127
113,164
261,168
130,163
211,264
105,65
66,161
93,161
76,269
152,199
214,212
60,244
109,171
215,216
192,163
150,154
192,130
141,106
195,280
94,148
200,267
91,152
133,148
206,311
80,278
259,194
209,269
111,146
54,228
56,231
189,154
104,297
246,211
93,62
113,27
190,162
140,55
127,176
189,146
203,287
188,208
213,261
312,123
103,126
129,143
66,252
250,164
135,91
46,83
268,195
239,208
247,212
91,149
234,176
240,175
257,189
59,140
191,125
191,160
269,159
142,299
182,170
75,197
193,170
128,99
112,298
139,301
83,260
57,223
95,163
153,141
194,173
76,264
222,243
77,143
106,124
221,244
214,239
131,148
110,171
205,283
65,219
119,160
112,113
45,90
270,204
262,185
190,166
78,146
118,39
155,114
192,120
97,129
87,73
263,178
43,68
75,211
268,207
137,66
67,223
191,168
74,196
78,130
71,258
185,203
242,168
65,207
192,157
242,213
107,96
62,250
79,191
168,171
264,209
68,248
90,173
79,215
196,123
192,110
218,225
192,175
79,271
82,268
43,90
81,112
69,261
133,157
244,167
192,127
47,88
242,210
64,228
229,211
49,120
260,192
263,176
86,278
271,204
78,183
215,257
181,106
303,122
145,72
74,269
86,152
210,268
266,207
70,247
79,272
110,297
83,265
202,287
274,202
257,209
197,275
200,268
164,154
190,151
140,115
189,136
109,14
190,150
66,240
268,206
189,105
167,156
216,255
139,86
189,151
113,271
82,260
134,49
81,270
206,252
191,159
207,249
188,175
202,262
269,207
215,204
89,183
77,266
273,201
266,157
76,260
168,129
233,212
47,111
194,278
166,197
42,66
67,244
186,175
263,210
190,159
189,142
81,123
89,205
156,153
87,273
191,129
76,272
206,254
73,156
135,69
105,43
137,109
96,205
255,151
250,148
86,182
152,101
212,263
93,141
110,189
80,266
46,118
121,24
190,175
77,263
76,207
193,176
210,267
78,273
59,77
148,124
144,97
103,42
75,174
137,174
262,189
77,273
71,195
251,171
77,192
189,133
192,160
158,113
204,260
189,177
173,171
166,152
191,144
140,56
205,100
74,156
223,242
214,258
166,151
69,149
185,80
65,231
106,118
152,200
259,193
250,210
194,88
85,279
205,281
192,125
147,107
178,163
82,265
191,153
191,155
102,123
185,136
80,108
205,286
97,132
264,208
265,190
192,167
266,197
227,198
48,119
220,246
88,194
189,147
107,168
78,262
187,175
75,257
195,104
195,107
70,148
96,22
139,121
146,93
76,216
115,152
68,78
213,215
67,218
64,235
189,155
81,212
132,297
99,158
213,208
88,266
144,82
111,116
192,178
81,119
82,272
191,157
114,126
259,181
219,226
224,238
263,209
226,190
90,153
214,263
201,266
253,210
94,146
90,67
88,136
85,199
160,172
218,250
62,224
100,89
206,260
78,275
56,221
66,221
154,132
168,155
199,269
68,244
96,24
61,212
230,197
207,254
263,173
74,218
168,172
271,202
201,105
194,175
189,150
102,40
76,197
189,141
68,63
104,15
215,255
266,183
86,262
87,265
164,152
135,125
206,282
271,184
51,76
68,222
201,155
118,28
134,115
63,71
73,261
69,212
191,173
79,193
116,165
161,143
304,156
83,279
214,215
112,20
229,202
68,214
226,205
135,124
255,199
127,146
80,213
118,149
247,198
220,245
117,21
207,275
206,280
43,71
112,18
194,286
191,146
189,131
222,197
185,174
216,254
79,123
71,213
192,98
253,194
167,148
90,160
65,248
262,191
171,157
156,135
96,164
79,276
77,272
65,256
170,155
82,262
223,232
225,194
119,39
268,158
195,177
216,223
271,203
192,108
173,149
66,250
53,76
191,113
101,61
83,199
214,262
76,155
117,151
92,64
261,198
119,20
192,122
84,84
229,184
109,103
57,220
65,229
145,80
89,272
91,61
152,112
219,247
66,212
264,207
153,199
88,65
103,297
103,122
73,219
103,99
120,138
91,67
109,294
193,171
302,156
88,268
193,167
204,285
88,140
90,161
191,137
211,265
141,74
145,87
123,167
103,62
98,132
107,12
130,300
97,142
111,117
219,202
257,153
241,214
67,200
91,155
64,222
191,135
185,202
70,255
101,188
201,265
176,148
73,136
88,267
87,132
75,255
218,251
202,263
108,164
83,95
62,246
64,234
90,92
109,119
223,195
75,264
135,95
64,255
189,132
86,93
166,149
244,203
270,206
58,136
79,189
310,123
221,34
203,102
191,165
204,263
72,199
192,121
72,157
80,110
135,47
78,129
116,28
66,204
207,250
252,194
262,211
116,146
156,132
103,118
65,255
154,167
88,272
163,144
156,121
65,226
77,265
47,114
192,190
189,130
106,39
59,241
194,281
168,130
85,268
138,156
77,255
141,81
198,276
111,98
265,189
218,252
153,138
121,21
43,102
147,108
85,209
191,141
205,256
261,192
196,275
261,170
268,208
251,212
190,163
76,217
192,164
191,152
141,116
195,176
92,145
193,114
76,156
79,277
271,205
206,241
85,196
65,224
101,293
189,153
175,140
87,130
126,142
213,205
65,258
235,211
48,69
56,232
231,180
93,155
75,256
61,243
80,87
65,254
191,130
264,210
266,187
260,193
117,298
98,294
195,276
83,263
144,162
206,278
178,195
94,141
110,178
110,172
60,217
74,198
198,273
152,301
82,212
108,30
109,113
95,88
204,258
200,269
87,263
222,241
260,209
189,152
81,266
118,38
63,233
113,173
88,270
113,161
263,177
133,94
121,27
269,206
64,226
205,257
266,199
189,156
214,217
260,211
84,209
134,87
252,201
87,276
75,270
100,125
184,162
65,257
88,274
215,217
214,259
124,146
107,186
141,91
112,294
109,169
250,150
219,228
129,297
64,253
135,126
225,201
182,199
260,153
109,149
191,148
256,151
205,258
242,157
186,174
69,203
159,172
76,271
140,183
101,19
206,277
216,222
80,262
206,239
213,262
98,136
66,224
90,66
75,156
81,94
213,211
47,101
153,302
100,28
112,99
140,110
72,212
89,268
177,148
195,277
274,200
243,198
213,207
77,195
150,115
194,282
83,281
191,147
102,122
151,158
204,286
192,159
202,267
186,167
177,177
189,135
92,207
205,279
250,211
130,297
134,166
115,104
103,127
83,275
143,103
88,70
137,69
88,271
57,218
87,271
167,154
101,93
196,180
98,82
189,157
42,72
85,278
112,176
203,259
56,230
56,121
75,217
196,179
176,147
117,166
76,258
119,141
142,84
144,70
267,188
75,262
187,206
71,220
251,195
151,141
192,117
92,159
67,225
208,271
146,199
63,250
119,22
254,209
111,171
201,268
219,249
79,262
83,211
192,179
80,141
140,199
268,190
47,87
99,31
133,43
86,277
205,280
107,30
192,162
215,256
127,173
266,190
191,172
197,274
78,149
133,299
167,153
60,218
70,222
255,209
144,81
193,169
193,136
66,241
62,221
174,195
114,12
117,17
88,265
93,64
189,176
259,174
206,279
191,127
102,296
75,271
128,174
130,157
175,165
190,177
81,269
196,104
148,116
264,180
88,281
262,171
66,247
191,161
110,30
223,241
88,269
156,142
265,208
189,145
207,252
261,177
74,256
177,170
82,267
190,137
116,104
94,147
131,95
258,199
158,122
74,268
88,273
75,170
200,266
137,53
89,139
216,220
90,271
196,274
109,13
191,171
252,195
197,273
150,173
78,150
193,112
95,128
263,206
202,291
213,263
86,272
193,81
195,178
227,205
87,277
76,259
246,214
188,174
99,127
191,178
89,270
143,159
85,162
108,117
151,95
158,112
67,241
191,169
139,159
94,157
133,46
171,171
64,227
256,201
116,167
93,61
64,225
252,171
118,154
67,223
194,181
208,272
117,139
264,197
104,293
80,269
62,248
79,119
192,116
46,98
99,136
72,203
143,199
240,177
94,152
194,279
261,199
190,168
217,252
202,286
194,180
97,32
242,170
116,34
233,203
71,203
216,318
223,192
187,250
170,164
264,191
79,188
224,206
268,204
93,151
266,189
110,173
134,157
202,242
111,112
84,94
203,263
77,262
140,98
224,34
100,135
190,149
252,210
109,165
90,159
193,172
124,121
272,202
48,112
113,150
261,191
252,199
268,193
94,149
209,268
245,196
97,162
81,213
98,63
144,96
207,260
177,194
215,258
189,158
156,133
203,261
62,210
137,147
84,139
257,210
97,201
191,128
268,205
197,104
266,196
202,261
90,157
197,174
233,177
90,127
105,100
90,151
145,92
146,91
229,197
87,142
269,205
262,210
217,253
193,115
68,62
225,196
127,43
78,264
263,192
63,231
116,295
190,126
176,195
193,77
263,185
266,185
190,119
235,212
248,197
65,294
230,202
91,145
75,260
234,197
165,171
194,284
64,70
118,174
125,149
84,75
98,110
266,186
80,263
60,242
123,147
80,131
270,205
127,172
69,68
80,84
192,118
156,128
184,173
224,231
144,200
259,182
164,141
113,168
266,184
191,115
190,148
272,203
202,268
244,195
262,207
54,226
251,213
245,213
243,168
267,189
203,286
132,163
258,171
159,149
138,80
175,147
111,174
45,89
184,174
213,260
54,229
206,238
267,187
126,153
226,189
97,110
106,155
192,137
109,296
105,66
154,123
97,56
135,143
61,223
163,154
251,187
191,118
214,261
68,61
73,267
267,159
129,96
128,83
95,129
76,263
73,148
190,164
193,170
77,194
81,262
173,150
262,192
193,79
62,244
130,66
78,151
84,82
82,77
64,104
226,201
208,119
79,275
207,251
261,212
80,264
68,65
190,117
62,215
246,165
193,180
84,262
75,257
186,175
95,87
207,273
75,253
46,99
60,226
80,265
242,175
194,169
80,272
99,128
218,249
192,161
101,131
65,210
88,133
117,171
191,126
183,171
69,222
111,83
123,150
63,230
77,148
58,138
268,180
110,155
84,131
72,201
81,141
55,225
191,170
263,194
201,288
61,224
75,199
193,173
156,139
274,201
86,207
86,153
60,222
192,165
160,150
176,171
87,172
232,179
189,94
97,133
258,151
175,161
178,171
87,274
140,88
177,171
198,271
104,37
264,206
243,214
190,146
261,209
194,174
191,142
84,277
140,71
45,76
84,276
104,40
198,272
209,270
263,208
56,219
189,159
90,186
128,202
79,117
224,190
209,269
251,166
200,187
102,13
170,126
263,188
192,129
215,202
194,176
156,131
202,98
104,125
124,46
187,81
115,31
81,271
135,91
83,76
72,265
75,265
83,267
114,134
181,173
115,298
246,212
214,208
65,247
77,216
189,163
251,196
172,172
130,174
233,199
138,142
270,189
254,212
81,121
138,65
97,203
193,163
131,142
186,95
268,191
117,156
196,178
163,145
186,104
243,213
98,202
120,25
62,211
74,264
208,250
84,274
191,158
72,219
79,124
86,208
249,157
112,166
143,114
71,151
107,163
273,202
86,279
112,44
65,205
185,204
93,142
76,265
71,146
69,221
123,174
109,297
211,244
118,171
97,26
87,275
264,176
193,104
69,245
80,277
99,23
108,159
111,297
104,298
175,146
110,174
123,166
206,242
67,198
82,279
92,63
216,154
80,276
258,175
190,165
259,185
196,276
51,121
138,150
217,251
300,158
58,239
193,110
205,111
115,29
215,219
172,171
87,136
114,158
259,196
204,238
72,251
111,115
90,68
183,200
264,183
93,169
252,215
88,275
116,29
158,172
219,198
204,287
257,197
115,16
111,175
267,185
96,206
222,230
258,165
94,89
112,114
255,213
130,124
58,219
75,264
192,133
176,151
184,202
95,136
204,259
113,163
75,258
201,264
201,287
62,214
244,146
73,218
139,59
111,156
88,272
91,146
45,98
192,115
87,268
216,199
265,192
234,209
263,172
154,173
54,104
167,150
82,270
183,173
273,203
182,198
139,93
192,86
89,128
187,175
96,33
96,294
265,199
74,199
265,210
203,260
59,227
216,201
87,273
191,114
74,218
192,154
95,85
207,253
72,264
195,177
114,156
225,32
105,39
93,130
71,202
182,173
301,159
86,74
261,211
86,276
223,193
91,150
232,177
119,298
216,221
186,172
201,292
214,214
83,268
231,206
96,29
206,276
156,134
251,215
262,198
124,47
191,156
194,282
170,196
300,157
142,80
260,182
98,26
190,167
66,208
79,116
193,174
227,189
110,40
191,138
107,16
60,246
109,164
264,179
207,274
175,195
80,130
265,191
59,219
191,151
220,227
267,200
100,133
261,176
207,247
94,90
189,133
76,219
210,267
171,151
172,153
88,271
225,35
253,150
172,121
267,158
207,115
80,128
87,266
300,136
207,239
81,196
54,224
67,222
266,188
146,113
59,218
204,270
192,103
212,262
109,104
195,275
166,196
189,104
139,73
88,270
232,201
186,203
92,91
248,211
86,130
102,190
180,151
109,33
129,95
194,285
93,148
149,159
89,64
64,226
101,52
75,187
92,59
218,227
226,32
214,213
82,138
63,234
195,282
74,254
